from,to,x,y,x,y,volume
B,A,11.671892969661,5.07524565350228,10.4752357653861,5.11625239679984,16.7
C,A,13.0929847436669,4.73604695288819,10.4752357653861,5.11625239679984,17.5
D,A,13.2560676538308,2.28246654951196,10.4752357653861,5.11625239679984,0
E,A,13.127502479115,3.09597725926486,10.4752357653861,5.11625239679984,76
A,B,10.4752357653861,5.11625239679984,11.671892969661,5.07524565350228,13
C,B,13.0929847436669,4.73604695288819,11.671892969661,5.07524565350228,16
D,B,13.2560676538308,2.28246654951196,11.671892969661,5.07524565350228,28.8
E,B,13.127502479115,3.09597725926486,11.671892969661,5.07524565350228,115.4
A,C,10.4752357653861,5.11625239679984,13.0929847436669,4.73604695288819,13.4
B,C,11.671892969661,5.07524565350228,13.0929847436669,4.73604695288819,72.1
D,C,13.2560676538308,2.28246654951196,13.0929847436669,4.73604695288819,24.6
E,C,13.127502479115,3.09597725926486,13.0929847436669,4.73604695288819,0
A,D,10.4752357653861,5.11625239679984,13.2560676538308,2.28246654951196,5.2
B,D,11.671892969661,5.07524565350228,13.2560676538308,2.28246654951196,25.9
C,D,13.0929847436669,4.73604695288819,13.2560676538308,2.28246654951196,14.2
E,D,13.127502479115,3.09597725926486,13.2560676538308,2.28246654951196,0
A,E,10.4752357653861,5.11625239679984,13.127502479115,3.09597725926486,30.5
B,E,11.671892969661,5.07524565350228,13.127502479115,3.09597725926486,0
C,E,13.0929847436669,4.73604695288819,13.127502479115,3.09597725926486,12.1
D,E,13.2560676538308,2.28246654951196,13.127502479115,3.09597725926486,7.3
